,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,fuel-type-diesel,fuel-type-gas
20,1,118,dodge,std,two,hatchback,fwd,front,93.7,157.3,63.8,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.2582999999999993,9.41,104.22277227722772,5125.990099009901,37,5.7317073170731705,13205.69,6.351351351351352,False,True
21,1,118,dodge,std,two,hatchback,fwd,front,93.7,157.3,63.8,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.184210526315789,13205.69,7.580645161290323,False,True
22,1,118,dodge,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,0.8494983277591973,2128,ohc,four,98,mpfi,3.03,3.2582999999999993,7.6,104.22277227722772,5125.990099009901,24,7.833333333333333,13205.69,9.791666666666666,False,True
23,1,148,dodge,std,four,hatchback,fwd,front,93.7,157.3,63.8,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.184210526315789,13205.69,7.580645161290323,False,True
24,1,148,dodge,std,four,sedan,fwd,front,93.7,157.3,63.8,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.184210526315789,13205.69,7.580645161290323,False,True
25,1,148,dodge,std,four,sedan,fwd,front,93.7,157.3,63.8,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.184210526315789,13205.69,7.580645161290323,False,True
26,1,148,dodge,turbo,,sedan,fwd,front,93.7,157.3,63.8,0.8461538461538463,2191,ohc,four,98,mpfi,3.03,3.2582999999999993,7.6,104.22277227722772,5125.990099009901,24,7.833333333333333,13205.69,9.791666666666666,False,True
27,-1,110,dodge,std,four,wagon,fwd,front,103.3,174.6,64.6,1.0,2535,ohc,four,122,2bbl,3.34,3.2582999999999993,8.5,104.22277227722772,5125.990099009901,24,7.833333333333333,13205.69,9.791666666666666,False,True
28,3,145,dodge,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,0.8394648829431439,2811,ohc,four,156,mfi,3.6,3.2582999999999993,7.0,104.22277227722772,5125.990099009901,19,9.791666666666666,13205.69,12.368421052631579,False,True
29,2,137,honda,std,two,hatchback,fwd,front,86.6,144.6,63.9,0.8494983277591973,1713,ohc,four,92,1bbl,2.91,3.2582999999999993,9.6,104.22277227722772,5125.990099009901,49,4.351851851851852,13205.69,4.795918367346939,False,True
30,2,137,honda,std,two,hatchback,fwd,front,86.6,144.6,63.9,0.8494983277591973,1819,ohc,four,92,1bbl,2.91,3.2582999999999993,9.2,104.22277227722772,5125.990099009901,31,6.184210526315789,13205.69,7.580645161290323,False,True
31,1,101,honda,std,two,hatchback,fwd,front,93.7,150.0,64.0,0.8795986622073579,1837,ohc,four,79,1bbl,2.91,3.2582999999999993,10.1,104.22277227722772,5125.990099009901,38,5.595238095238095,13205.69,6.184210526315789,False,True
32,1,101,honda,std,two,hatchback,fwd,front,93.7,150.0,64.0,0.8795986622073579,1940,ohc,four,92,1bbl,2.91,3.2582999999999993,9.2,104.22277227722772,5125.990099009901,30,6.911764705882353,13205.69,7.833333333333333,False,True
33,1,101,honda,std,two,hatchback,fwd,front,93.7,150.0,64.0,0.8795986622073579,1956,ohc,four,92,1bbl,2.91,3.2582999999999993,9.2,104.22277227722772,5125.990099009901,30,6.911764705882353,13205.69,7.833333333333333,False,True
34,0,110,honda,std,four,sedan,fwd,front,96.5,163.4,64.0,0.911371237458194,2010,ohc,four,92,1bbl,2.91,3.2582999999999993,9.2,104.22277227722772,5125.990099009901,30,6.911764705882353,13205.69,7.833333333333333,False,True
35,0,78,honda,std,four,wagon,fwd,front,96.5,157.1,63.9,0.9749163879598662,2024,ohc,four,92,1bbl,2.92,3.2582999999999993,9.2,104.22277227722772,5125.990099009901,30,6.911764705882353,13205.69,7.833333333333333,False,True
36,0,106,honda,std,two,hatchback,fwd,front,96.5,167.5,65.2,0.8913043478260869,2236,ohc,four,110,1bbl,3.15,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,27,7.121212121212121,13205.69,8.703703703703704,False,True
37,0,106,honda,std,two,hatchback,fwd,front,96.5,167.5,65.2,0.8913043478260869,2289,ohc,four,110,1bbl,3.15,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,27,7.121212121212121,13205.69,8.703703703703704,False,True
38,0,85,honda,std,four,sedan,fwd,front,96.5,175.4,65.2,0.9046822742474917,2304,ohc,four,110,1bbl,3.15,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,27,7.121212121212121,13205.69,8.703703703703704,False,True
39,0,85,honda,std,four,sedan,fwd,front,96.5,175.4,62.5,0.9046822742474917,2372,ohc,four,110,1bbl,3.15,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,27,7.121212121212121,13205.69,8.703703703703704,False,True
40,0,85,honda,std,four,sedan,fwd,front,96.5,175.4,65.2,0.9046822742474917,2465,ohc,four,110,mpfi,3.15,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,24,8.392857142857142,13205.69,9.791666666666666,False,True
41,1,107,honda,std,two,sedan,fwd,front,96.5,169.1,66.0,0.8528428093645485,2293,ohc,four,110,2bbl,3.15,3.2582999999999993,9.1,104.22277227722772,5125.990099009901,25,7.580645161290323,13205.69,9.4,False,True
42,0,122,isuzu,std,four,sedan,rwd,front,94.3,170.7,61.8,0.8946488294314382,2337,ohc,four,111,2bbl,3.31,3.2582999999999993,8.5,104.22277227722772,5125.990099009901,24,8.10344827586207,13205.69,9.791666666666666,False,True
43,1,122,isuzu,std,two,sedan,fwd,front,94.5,155.9,63.6,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.2582999999999993,9.6,104.22277227722772,5125.990099009901,38,5.465116279069767,13205.69,6.184210526315789,False,True
44,0,122,isuzu,std,four,sedan,fwd,front,94.5,155.9,63.6,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.2582999999999993,9.6,104.22277227722772,5125.990099009901,38,5.465116279069767,13205.69,6.184210526315789,False,True
45,2,122,isuzu,std,two,hatchback,rwd,front,96.0,172.6,65.2,0.8595317725752508,2734,ohc,four,119,spfi,3.43,3.2582999999999993,9.2,104.22277227722772,5125.990099009901,24,8.10344827586207,13205.69,9.791666666666666,False,True
46,0,145,jaguar,std,four,sedan,rwd,front,113.0,199.6,69.6,0.882943143812709,4066,dohc,six,258,mpfi,3.63,3.2582999999999993,8.1,104.22277227722772,5125.990099009901,15,12.368421052631579,13205.69,15.666666666666666,False,True
47,0,122,jaguar,std,four,sedan,rwd,front,113.0,199.6,69.6,0.882943143812709,4066,dohc,six,258,mpfi,3.63,3.2582999999999993,8.1,104.22277227722772,5125.990099009901,15,12.368421052631579,13205.69,15.666666666666666,False,True
48,0,122,jaguar,std,two,sedan,rwd,front,102.0,191.7,70.6,0.7993311036789298,3950,ohcv,twelve,326,mpfi,3.54,3.2582999999999993,11.5,104.22277227722772,5125.990099009901,13,13.823529411764707,13205.69,18.076923076923077,False,True
49,1,104,mazda,std,two,hatchback,fwd,front,93.1,159.1,64.2,0.9046822742474917,1890,ohc,four,91,2bbl,3.03,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,30,7.580645161290323,13205.69,7.833333333333333,False,True
50,1,104,mazda,std,two,hatchback,fwd,front,93.1,159.1,64.2,0.9046822742474917,1900,ohc,four,91,2bbl,3.03,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,31,6.184210526315789,13205.69,7.580645161290323,False,True
51,1,104,mazda,std,two,hatchback,fwd,front,93.1,159.1,64.2,0.9046822742474917,1905,ohc,four,91,2bbl,3.03,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,31,6.184210526315789,13205.69,7.580645161290323,False,True
52,1,113,mazda,std,four,sedan,fwd,front,93.1,166.8,64.2,0.9046822742474917,1945,ohc,four,91,2bbl,3.03,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,31,6.184210526315789,13205.69,7.580645161290323,False,True
53,1,113,mazda,std,four,sedan,fwd,front,93.1,166.8,64.2,0.9046822742474917,1950,ohc,four,91,2bbl,3.08,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,31,6.184210526315789,13205.69,7.580645161290323,False,True
54,3,150,mazda,std,two,hatchback,rwd,front,95.3,169.0,65.7,0.8294314381270904,2380,rotor,two,70,4bbl,3.3290499999999996,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,17,10.217391304347826,13205.69,13.823529411764707,False,True
55,3,150,mazda,std,two,hatchback,rwd,front,95.3,169.0,65.7,0.8294314381270904,2380,rotor,two,70,4bbl,3.3290499999999996,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,17,10.217391304347826,13205.69,13.823529411764707,False,True
56,3,150,mazda,std,two,hatchback,rwd,front,95.3,169.0,65.7,0.8294314381270904,2385,rotor,two,70,4bbl,3.3290499999999996,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,17,10.217391304347826,13205.69,13.823529411764707,False,True
57,3,150,mazda,std,two,hatchback,rwd,front,95.3,169.0,65.7,0.8294314381270904,2500,rotor,two,80,mpfi,3.3290499999999996,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,16,10.217391304347826,13205.69,14.6875,False,True
58,1,129,mazda,std,two,hatchback,fwd,front,98.8,177.8,66.5,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.2582999999999993,8.6,104.22277227722772,5125.990099009901,26,7.34375,13205.69,9.038461538461538,False,True
59,0,115,mazda,std,four,sedan,fwd,front,98.8,177.8,66.5,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.2582999999999993,8.6,104.22277227722772,5125.990099009901,26,7.34375,13205.69,9.038461538461538,False,True
60,1,129,mazda,std,two,hatchback,fwd,front,98.8,177.8,66.5,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.2582999999999993,8.6,104.22277227722772,5125.990099009901,26,7.34375,13205.69,9.038461538461538,False,True
61,0,115,mazda,std,four,sedan,fwd,front,98.8,177.8,66.5,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.2582999999999993,8.6,104.22277227722772,5125.990099009901,26,7.34375,13205.69,9.038461538461538,False,True
62,0,122,mazda,std,,sedan,fwd,front,98.8,177.8,66.5,0.9280936454849499,2443,ohc,four,122,idi,3.39,3.2582999999999993,22.7,104.22277227722772,5125.990099009901,36,5.595238095238095,13205.69,6.527777777777778,True,False
63,0,115,mazda,std,four,hatchback,fwd,front,98.8,177.8,66.5,0.9280936454849499,2425,ohc,four,122,2bbl,3.39,3.2582999999999993,8.6,104.22277227722772,5125.990099009901,26,7.34375,13205.69,9.038461538461538,False,True
64,0,118,mazda,std,four,sedan,rwd,front,104.9,175.0,66.1,0.9096989966555185,2670,ohc,four,140,mpfi,3.76,3.2582999999999993,8.0,104.22277227722772,5125.990099009901,19,8.703703703703704,13205.69,12.368421052631579,False,True
65,0,122,mazda,std,four,sedan,rwd,front,104.9,175.0,66.1,0.9096989966555185,2700,ohc,four,134,idi,3.43,3.2582999999999993,22.0,104.22277227722772,5125.990099009901,31,6.0256410256410255,13205.69,7.580645161290323,True,False
66,-1,93,mercedes-benz,turbo,four,sedan,rwd,front,110.0,190.9,70.3,0.9448160535117057,3515,ohc,five,183,idi,3.58,3.2582999999999993,21.5,104.22277227722772,5125.990099009901,22,9.4,13205.69,10.681818181818182,True,False
67,-1,93,mercedes-benz,turbo,four,wagon,rwd,front,110.0,190.9,70.3,0.9816053511705687,3750,ohc,five,183,idi,3.58,3.2582999999999993,21.5,104.22277227722772,5125.990099009901,22,9.4,13205.69,10.681818181818182,True,False
68,0,93,mercedes-benz,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,0.9180602006688964,3495,ohc,five,183,idi,3.58,3.2582999999999993,21.5,104.22277227722772,5125.990099009901,22,9.4,13205.69,10.681818181818182,True,False
69,-1,93,mercedes-benz,turbo,four,sedan,rwd,front,115.6,202.6,71.7,0.9414715719063546,3770,ohc,five,183,idi,3.58,3.2582999999999993,21.5,104.22277227722772,5125.990099009901,22,9.4,13205.69,10.681818181818182,True,False
70,-1,122,mercedes-benz,std,four,sedan,rwd,front,115.6,202.6,71.7,0.9448160535117057,3740,ohcv,eight,234,mpfi,3.46,3.2582999999999993,8.3,104.22277227722772,5125.990099009901,16,13.055555555555555,13205.69,14.6875,False,True
71,3,142,mercedes-benz,std,two,convertible,rwd,front,96.6,180.3,70.5,0.8494983277591973,3685,ohcv,eight,234,mpfi,3.46,3.2582999999999993,8.3,104.22277227722772,5125.990099009901,16,13.055555555555555,13205.69,14.6875,False,True
72,0,122,mercedes-benz,std,four,sedan,rwd,front,120.9,208.1,71.7,0.948160535117057,3900,ohcv,eight,308,mpfi,3.8,3.2582999999999993,8.0,104.22277227722772,5125.990099009901,14,14.6875,13205.69,16.785714285714285,False,True
73,1,122,mercedes-benz,std,two,hardtop,rwd,front,112.0,199.2,72.0,0.9264214046822743,3715,ohcv,eight,304,mpfi,3.8,3.2582999999999993,8.0,104.22277227722772,5125.990099009901,14,14.6875,13205.69,16.785714285714285,False,True
74,1,122,mercury,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,0.9163879598662207,2910,ohc,four,140,mpfi,3.78,3.2582999999999993,8.0,104.22277227722772,5125.990099009901,19,9.791666666666666,13205.69,12.368421052631579,False,True
75,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,157.3,64.4,0.8494983277591973,1918,ohc,four,92,2bbl,2.97,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,37,5.7317073170731705,13205.69,6.351351351351352,False,True
76,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,157.3,64.4,0.8494983277591973,1944,ohc,four,92,2bbl,2.97,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.184210526315789,13205.69,7.580645161290323,False,True
77,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,157.3,64.4,0.8494983277591973,2004,ohc,four,92,2bbl,2.97,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.184210526315789,13205.69,7.580645161290323,False,True
78,1,161,mitsubishi,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,0.8494983277591973,2145,ohc,four,98,spdi,3.03,3.2582999999999993,7.6,104.22277227722772,5125.990099009901,24,7.833333333333333,13205.69,9.791666666666666,False,True
79,3,153,mitsubishi,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,0.8260869565217391,2370,ohc,four,110,spdi,3.17,3.2582999999999993,7.5,104.22277227722772,5125.990099009901,23,7.833333333333333,13205.69,10.217391304347826,False,True
80,3,153,mitsubishi,std,two,hatchback,fwd,front,96.3,173.0,65.4,0.8260869565217391,2328,ohc,four,122,2bbl,3.35,3.2582999999999993,8.5,104.22277227722772,5125.990099009901,25,7.34375,13205.69,9.4,False,True
81,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,0.8394648829431439,2833,ohc,four,156,spdi,3.58,3.2582999999999993,7.0,104.22277227722772,5125.990099009901,19,9.791666666666666,13205.69,12.368421052631579,False,True
82,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,0.8394648829431439,2921,ohc,four,156,spdi,3.59,3.2582999999999993,7.0,104.22277227722772,5125.990099009901,19,9.791666666666666,13205.69,12.368421052631579,False,True
83,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,0.8394648829431439,2926,ohc,four,156,spdi,3.59,3.2582999999999993,7.0,104.22277227722772,5125.990099009901,19,9.791666666666666,13205.69,12.368421052631579,False,True
84,1,125,mitsubishi,std,four,sedan,fwd,front,96.3,172.4,65.4,0.8628762541806021,2365,ohc,four,122,2bbl,3.35,3.2582999999999993,8.5,104.22277227722772,5125.990099009901,25,7.34375,13205.69,9.4,False,True
85,1,125,mitsubishi,std,four,sedan,fwd,front,96.3,172.4,65.4,0.8628762541806021,2405,ohc,four,122,2bbl,3.35,3.2582999999999993,8.5,104.22277227722772,5125.990099009901,25,7.34375,13205.69,9.4,False,True
86,1,125,mitsubishi,turbo,four,sedan,fwd,front,96.3,172.4,65.4,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.2582999999999993,7.5,104.22277227722772,5125.990099009901,23,7.833333333333333,13205.69,10.217391304347826,False,True
87,-1,137,mitsubishi,std,four,sedan,fwd,front,96.3,172.4,65.4,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.2582999999999993,7.5,104.22277227722772,5125.990099009901,23,7.833333333333333,13205.69,10.217391304347826,False,True
88,1,128,nissan,std,two,sedan,fwd,front,94.5,165.3,63.8,0.911371237458194,1889,ohc,four,97,2bbl,3.15,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.351351351351352,13205.69,7.580645161290323,False,True
89,1,128,nissan,std,two,sedan,fwd,front,94.5,165.3,63.8,0.911371237458194,2017,ohc,four,103,idi,2.99,3.2582999999999993,21.9,104.22277227722772,5125.990099009901,45,4.7,13205.69,5.222222222222222,True,False
90,1,128,nissan,std,two,sedan,fwd,front,94.5,165.3,63.8,0.911371237458194,1918,ohc,four,97,2bbl,3.15,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.351351351351352,13205.69,7.580645161290323,False,True
91,1,122,nissan,std,four,sedan,fwd,front,94.5,165.3,63.8,0.911371237458194,1938,ohc,four,97,2bbl,3.15,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.351351351351352,13205.69,7.580645161290323,False,True
92,1,103,nissan,std,four,wagon,fwd,front,94.5,170.2,63.8,0.8946488294314382,2024,ohc,four,97,2bbl,3.15,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.351351351351352,13205.69,7.580645161290323,False,True
93,1,128,nissan,std,two,sedan,fwd,front,94.5,165.3,63.8,0.911371237458194,1951,ohc,four,97,2bbl,3.15,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.351351351351352,13205.69,7.580645161290323,False,True
94,1,128,nissan,std,two,hatchback,fwd,front,94.5,165.6,63.8,0.8913043478260869,2028,ohc,four,97,2bbl,3.15,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.351351351351352,13205.69,7.580645161290323,False,True
95,1,122,nissan,std,four,sedan,fwd,front,94.5,165.3,63.8,0.911371237458194,1971,ohc,four,97,2bbl,3.15,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.351351351351352,13205.69,7.580645161290323,False,True
96,1,103,nissan,std,four,wagon,fwd,front,94.5,170.2,63.8,0.8946488294314382,2037,ohc,four,97,2bbl,3.15,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.351351351351352,13205.69,7.580645161290323,False,True
97,2,168,nissan,std,two,hardtop,fwd,front,95.1,162.4,63.8,0.8913043478260869,2008,ohc,four,97,2bbl,3.15,3.2582999999999993,9.4,104.22277227722772,5125.990099009901,31,6.351351351351352,13205.69,7.580645161290323,False,True
98,0,106,nissan,std,four,hatchback,fwd,front,97.2,173.4,65.2,0.9147157190635452,2324,ohc,four,120,2bbl,3.33,3.2582999999999993,8.5,104.22277227722772,5125.990099009901,27,6.911764705882353,13205.69,8.703703703703704,False,True
99,0,106,nissan,std,four,sedan,fwd,front,97.2,173.4,65.2,0.9147157190635452,2302,ohc,four,120,2bbl,3.33,3.2582999999999993,8.5,104.22277227722772,5125.990099009901,27,6.911764705882353,13205.69,8.703703703703704,False,True
100,0,128,nissan,std,four,sedan,fwd,front,100.4,181.7,66.5,0.9214046822742475,3095,ohcv,six,181,mpfi,3.43,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,17,10.681818181818182,13205.69,13.823529411764707,False,True
101,0,108,nissan,std,four,wagon,fwd,front,100.4,184.6,66.5,0.9381270903010034,3296,ohcv,six,181,mpfi,3.43,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,17,10.681818181818182,13205.69,13.823529411764707,False,True
102,0,108,nissan,std,four,sedan,fwd,front,100.4,184.6,66.5,0.9214046822742475,3060,ohcv,six,181,mpfi,3.43,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,19,9.4,13205.69,12.368421052631579,False,True
103,3,194,nissan,std,two,hatchback,rwd,front,91.3,170.7,67.9,0.831103678929766,3071,ohcv,six,181,mpfi,3.43,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,19,9.4,13205.69,12.368421052631579,False,True
104,3,194,nissan,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.2582999999999993,7.8,104.22277227722772,5125.990099009901,17,10.217391304347826,13205.69,13.823529411764707,False,True
105,1,231,nissan,std,two,hatchback,rwd,front,99.2,178.5,67.9,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,19,9.4,13205.69,12.368421052631579,False,True
106,0,161,peugot,std,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3020,l,four,120,mpfi,3.46,3.2582999999999993,8.4,104.22277227722772,5125.990099009901,19,9.791666666666666,13205.69,12.368421052631579,False,True
107,0,161,peugot,turbo,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3197,l,four,152,idi,3.7,3.2582999999999993,21.0,104.22277227722772,5125.990099009901,28,7.121212121212121,13205.69,8.392857142857142,True,False
108,0,122,peugot,std,four,wagon,rwd,front,114.2,198.9,68.4,0.9816053511705687,3230,l,four,120,mpfi,3.46,3.2582999999999993,8.4,104.22277227722772,5125.990099009901,19,9.791666666666666,13205.69,12.368421052631579,False,True
109,0,122,peugot,turbo,four,wagon,rwd,front,114.2,198.9,68.4,0.9816053511705687,3430,l,four,152,idi,3.7,3.2582999999999993,21.0,104.22277227722772,5125.990099009901,25,9.4,13205.69,9.4,True,False
110,0,161,peugot,std,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3075,l,four,120,mpfi,3.46,3.2582999999999993,8.4,104.22277227722772,5125.990099009901,19,9.791666666666666,13205.69,12.368421052631579,False,True
111,0,161,peugot,turbo,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3252,l,four,152,idi,3.7,3.2582999999999993,21.0,104.22277227722772,5125.990099009901,28,7.121212121212121,13205.69,8.392857142857142,True,False
112,0,122,peugot,std,four,wagon,rwd,front,114.2,198.9,68.4,0.948160535117057,3285,l,four,120,mpfi,3.46,3.2582999999999993,8.4,104.22277227722772,5125.990099009901,19,9.791666666666666,13205.69,12.368421052631579,False,True
