,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system,bore2
76,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97
77,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97
78,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.03
79,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.17
80,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.35
81,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.58
82,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.59
83,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.59
84,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.35
85,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.35
86,mitsubishi,gas,turbo,four,sedan,fwd,front,ohc,four,spdi,3.17
87,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,spdi,3.17
88,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,3.15
89,nissan,diesel,std,two,sedan,fwd,front,ohc,four,idi,2.99
90,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,3.15
91,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.15
92,nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl,3.15
93,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,3.15
94,nissan,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.15
95,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.15
96,nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl,3.15
97,nissan,gas,std,two,hardtop,fwd,front,ohc,four,2bbl,3.15
98,nissan,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,3.33
99,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.33
100,nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi,3.43
101,nissan,gas,std,four,wagon,fwd,front,ohcv,six,mpfi,3.43
102,nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi,3.43
103,nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,3.43
104,nissan,gas,turbo,two,hatchback,rwd,front,ohcv,six,mpfi,3.43
105,nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,3.43
106,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi,3.46
107,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi,3.70
108,peugot,gas,std,four,wagon,rwd,front,l,four,mpfi,3.46
109,peugot,diesel,turbo,four,wagon,rwd,front,l,four,idi,3.70
110,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi,3.46
111,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi,3.70
112,peugot,gas,std,four,wagon,rwd,front,l,four,mpfi,3.46
113,peugot,diesel,turbo,four,wagon,rwd,front,l,four,idi,3.70
114,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi,3.46
115,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi,3.70
116,peugot,gas,turbo,four,sedan,rwd,front,l,four,mpfi,3.61
117,plymouth,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97
118,plymouth,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.03
119,plymouth,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,2.97
120,plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl,2.97
121,plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl,2.97
122,plymouth,gas,std,four,wagon,fwd,front,ohc,four,2bbl,3.35
123,plymouth,gas,turbo,two,hatchback,rwd,front,ohc,four,spdi,3.59
124,porsche,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,3.94
125,porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi,3.74
126,porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi,3.74
127,porsche,gas,std,two,convertible,rwd,rear,ohcf,six,mpfi,3.74
128,porsche,gas,std,two,hatchback,rwd,front,dohcv,eight,mpfi,3.94
129,renault,gas,std,four,wagon,fwd,front,ohc,four,mpfi,3.46
130,renault,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,3.46
131,saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,3.54
132,saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.54
133,saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,2.54
134,saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.54
135,saab,gas,turbo,two,hatchback,fwd,front,dohc,four,mpfi,3.54
136,saab,gas,turbo,four,sedan,fwd,front,dohc,four,mpfi,3.54
137,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl,3.62
138,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl,3.62
139,subaru,gas,std,two,hatchback,4wd,front,ohcf,four,2bbl,3.62
140,subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl,3.62
141,subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl,3.62
142,subaru,gas,std,four,sedan,fwd,front,ohcf,four,mpfi,3.62
143,subaru,gas,std,four,sedan,4wd,front,ohcf,four,2bbl,3.62
144,subaru,gas,turbo,four,sedan,4wd,front,ohcf,four,mpfi,3.62
145,subaru,gas,std,four,wagon,fwd,front,ohcf,four,2bbl,3.62
146,subaru,gas,std,four,wagon,fwd,front,ohcf,four,mpfi,3.62
147,subaru,gas,std,four,wagon,4wd,front,ohcf,four,2bbl,3.62
148,subaru,gas,turbo,four,wagon,4wd,front,ohcf,four,mpfi,3.62
149,toyota,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.05
150,toyota,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.05
151,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,3.05
152,toyota,gas,std,four,wagon,fwd,front,ohc,four,2bbl,3.05
153,toyota,gas,std,four,wagon,4wd,front,ohc,four,2bbl,3.05
154,toyota,gas,std,four,wagon,4wd,front,ohc,four,2bbl,3.05
155,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.19
156,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,3.19
157,toyota,diesel,std,four,sedan,fwd,front,ohc,four,idi,3.27
158,toyota,diesel,std,four,hatchback,fwd,front,ohc,four,idi,3.27
159,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.19
160,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,3.19
161,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.19
162,toyota,gas,std,two,sedan,rwd,front,ohc,four,2bbl,3.19
163,toyota,gas,std,two,hatchback,rwd,front,ohc,four,2bbl,3.19
164,toyota,gas,std,two,sedan,rwd,front,dohc,four,mpfi,3.24
165,toyota,gas,std,two,hatchback,rwd,front,dohc,four,mpfi,3.24
166,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,3.62
167,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,3.62
168,toyota,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,3.62
169,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,3.62
170,toyota,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,3.62
171,toyota,gas,std,two,convertible,rwd,front,ohc,four,mpfi,3.62
172,toyota,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.31
173,toyota,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,3.27
174,toyota,gas,std,four,hatchback,fwd,front,ohc,four,mpfi,3.31
175,toyota,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.31
176,toyota,gas,std,four,hatchback,fwd,front,ohc,four,mpfi,3.31
177,toyota,gas,std,two,hatchback,rwd,front,dohc,six,mpfi,3.27
178,toyota,gas,std,two,hatchback,rwd,front,dohc,six,mpfi,3.27
179,toyota,gas,std,four,sedan,rwd,front,dohc,six,mpfi,3.27
180,toyota,gas,std,four,wagon,rwd,front,dohc,six,mpfi,3.27
181,volkswagen,diesel,std,two,sedan,fwd,front,ohc,four,idi,3.01
182,volkswagen,gas,std,two,sedan,fwd,front,ohc,four,mpfi,3.19
183,volkswagen,diesel,std,four,sedan,fwd,front,ohc,four,idi,3.01
184,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.19
185,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.19
186,volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,3.01
187,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.19
188,volkswagen,gas,std,two,convertible,fwd,front,ohc,four,mpfi,3.19
189,volkswagen,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,3.19
190,volkswagen,gas,std,four,sedan,fwd,front,ohc,five,mpfi,3.19
191,volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,3.01
192,volkswagen,gas,std,four,wagon,fwd,front,ohc,four,mpfi,3.19
193,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,3.78
194,volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi,3.78
195,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,3.78
196,volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi,3.78
197,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,3.62
198,volvo,gas,turbo,four,wagon,rwd,front,ohc,four,mpfi,3.62
199,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,3.78
200,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,3.78
201,volvo,gas,std,four,sedan,rwd,front,ohcv,six,mpfi,3.58
202,volvo,diesel,turbo,four,sedan,rwd,front,ohc,six,idi,3.01
203,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,3.78
